"prov_name","date","age","Sprop_mean"
"Beijing","2010-08-31","0",0.0426201617908962
"Beijing","2010-08-31","1_14",0.0501097677066563
"Beijing","2010-08-31","15_49",0.0604288845723758
"Beijing","2010-08-31","50_",0.0518468788514282
"Tianjin","2010-08-31","0",0.0450158136053241
"Tianjin","2010-08-31","1_14",0.054863527506333
"Tianjin","2010-08-31","15_49",0.0604980768974647
"Tianjin","2010-08-31","50_",0.0517533636549655
"Hebei","2010-08-31","0",0.0749161477919856
"Hebei","2010-08-31","1_14",0.0938282551158392
"Hebei","2010-08-31","15_49",0.0734730456337721
"Hebei","2010-08-31","50_",0.0563322879435616
"Shanxi","2010-08-31","0",0.0742288050048631
"Shanxi","2010-08-31","1_14",0.0974837529400712
"Shanxi","2010-08-31","15_49",0.0754164415796442
"Shanxi","2010-08-31","50_",0.0570679289715644
"Neimenggu","2010-08-31","0",0.0709955543711347
"Neimenggu","2010-08-31","1_14",0.0967873510467365
"Neimenggu","2010-08-31","15_49",0.0742706722930051
"Neimenggu","2010-08-31","50_",0.0575619783630298
"Liaoning","2010-08-31","0",0.0710302776803579
"Liaoning","2010-08-31","1_14",0.0986182602546409
"Liaoning","2010-08-31","15_49",0.0724684262975187
"Liaoning","2010-08-31","50_",0.0556268018486051
"Jilin","2010-08-31","0",0.0781028775349575
"Jilin","2010-08-31","1_14",0.112203712214044
"Jilin","2010-08-31","15_49",0.0780535902045272
"Jilin","2010-08-31","50_",0.0586067553467953
"Heilongjiang","2010-08-31","0",0.0798156980526454
"Heilongjiang","2010-08-31","1_14",0.115282236162372
"Heilongjiang","2010-08-31","15_49",0.0789110803243783
"Heilongjiang","2010-08-31","50_",0.0591288977614535
"Shanghai","2010-08-31","0",0.066011965942316
"Shanghai","2010-08-31","1_14",0.0811471454794277
"Shanghai","2010-08-31","15_49",0.0682377276305328
"Shanghai","2010-08-31","50_",0.0538701693327643
"Jiangsu","2010-08-31","0",0.0602426049119446
"Jiangsu","2010-08-31","1_14",0.078141025570395
