prov_code,prov_name,yr,pop_tot_yrend_statgov,brrt_tot_yrmidadj_statgov,dert_tot_yrmidadj_statgov
11,Beijing,2003,1456,5.1,5.2
11,Beijing,2004,1493,6.1,5.4
11,Beijing,2005,1538,6.29,5.2
11,Beijing,2006,1601,6.26,4.97
11,Beijing,2007,1676,8.32,4.92
11,Beijing,2008,1771,8.17,4.75
11,Beijing,2009,1860,8.06,4.56
11,Beijing,2010,1962,7.48,4.41
11,Beijing,2011,2024,8.29,4.27
11,Beijing,2012,2078,9.05,4.31
11,Beijing,2013,2125,8.93,4.52
11,Beijing,2014,2171,9.75,4.92
12,Tianjin,2003,1011,7.14,6.04
12,Tianjin,2004,1024,7.31,5.97
12,Tianjin,2005,1043,7.44,6.01
12,Tianjin,2006,1075,7.67,6.07
12,Tianjin,2007,1115,7.91,5.86
12,Tianjin,2008,1176,8.13,5.94
12,Tianjin,2009,1228,8.3,5.7
12,Tianjin,2010,1299,8.18,5.58
12,Tianjin,2011,1341,8.58,6.08
12,Tianjin,2012,1378,8.75,6.12
12,Tianjin,2013,1410,8.28,6
12,Tianjin,2014,1429,8.19,6.05
13,Hebei,2003,6769,11.43,6.27
13,Hebei,2004,6809,11.98,6.19
13,Hebei,2005,6851,12.84,6.75
13,Hebei,2006,6898,12.82,6.59
13,Hebei,2007,6943,13.33,6.78
13,Hebei,2008,6989,13.04,6.49
13,Hebei,2009,7034,12.93,6.43
13,Hebei,2010,7194,13.22,6.41
13,Hebei,2011,7232,13.02,6.52
13,Hebei,2012,7262,12.88,6.41
13,Hebei,2013,7288,13.04,6.87
13,Hebei,2014,7323,13.18,6.23
14,Shanxi,2003,3314,12.26,6.04
14,Shanxi,2004,3335,12.36,6.11
14,Shanxi,2005,3355,12.02,6
14,Shanxi,2006,3375,11.48,5.73
14,Shanxi,2007,3393,11.3,5.97
14,Shanxi,2008,3411,11.32,6.01
14,Shanxi,2009,3427,10.87,5.98
14,Shanxi,2010,3574,10.68,5.38
14,Shanxi,2011,3562,10.47,5.61
14,Shanxi,2012,3548,10.7,5.83
14,Shanxi,2013,3535,10.81,5.57
14,Shanxi,2014,3528,10.92,5.93
15,Neimenggu,2003,2386,9.24,6.17
15,Neimenggu,2004,2393,9.53,5.98
15,Neimenggu,2005,2403,10.08,5.46
15,Neimenggu,2006,2415,9.87,5.91
15,Neimenggu,2007,2429,10.21,5.73
15,Neimenggu,2008,2444,9.81,5.54
15,Neimenggu,2009,2458,9.57,5.61
15,Neimenggu,2010,2472,9.3,5.54
15,Neimenggu,2011,2470,8.94,5.43
15,Neimenggu,2012,2464,9.17,5.52
15,Neimenggu,2013,2455,8.98,5.62
15,Neimenggu,2014,2449,9.31,5.75
21,Liaoning,2003,4210,6.9,5.83
21,Liaoning,2004,4217,6.51,5.6
21,Liaoning,2005,4221,7.01,6.04
21,Liaoning,2006,4271,6.4,5.3
21,Liaoning,2007,4298,6.89,5.36
21,Liaoning,2008,4315,6.32,5.22
21,Liaoning,2009,4341,6.06,5.09
21,Liaoning,2010,4375,6.68,6.26
21,Liaoning,2011,4379,5.71,6.05
21,Liaoning,2012,4375,6.15,6.54
21,Liaoning,2013,4365,6.09,6.12
21,Liaoning,2014,4358,6.49,6.23
22,Jilin,2003,2704,7.25,5.64
22,Jilin,2004,2709,7.39,5.63
22,Jilin,2005,2716,7.89,5.32
22,Jilin,2006,2723,7.67,5
22,Jilin,2007,2730,7.55,5.05
22,Jilin,2008,2734,6.65,5.04
22,Jilin,2009,2740,6.69,4.74
22,Jilin,2010,2747,7.91,5.88
22,Jilin,2011,2725,6.53,5.51
22,Jilin,2012,2698,5.73,5.37
22,Jilin,2013,2668,5.36,5.04
22,Jilin,2014,2642,6.62,6.22
23,Heilongjiang,2003,3815,7.48,5.45
23,Heilongjiang,2004,3817,7.27,5.45
23,Heilongjiang,2005,3820,7.87,5.2
23,Heilongjiang,2006,3823,7.57,5.18
23,Heilongjiang,2007,3824,7.88,5.39
23,Heilongjiang,2008,3825,7.91,5.68
23,Heilongjiang,2009,3826,7.48,5.42
23,Heilongjiang,2010,3833,7.35,5.03
23,Heilongjiang,2011,3782,6.99,5.92
23,Heilongjiang,2012,3724,7.3,6.03
23,Heilongjiang,2013,3666,6.86,6.08
23,Heilongjiang,2014,3608,7.37,6.46
31,Shanghai,2003,1766,4.85,6.2
31,Shanghai,2004,1835,6,6
31,Shanghai,2005,1890,7.04,6.08
31,Shanghai,2006,1964,7.47,5.89
31,Shanghai,2007,2064,9.07,6.03
31,Shanghai,2008,2141,8.89,6.17
31,Shanghai,2009,2210,8.64,5.94
31,Shanghai,2010,2303,7.05,5.07
31,Shanghai,2011,2356,6.97,5.1
31,Shanghai,2012,2399,9.56,5.36
31,Shanghai,2013,2448,8.18,5.24
31,Shanghai,2014,2467,8.35,5.21
32,Jiangsu,2003,7458,9.04,7.03
32,Jiangsu,2004,7523,9.45,7.2
32,Jiangsu,2005,7588,9.24,7.03
32,Jiangsu,2006,7656,9.36,7.08
32,Jiangsu,2007,7723,9.37,7.07
32,Jiangsu,2008,7762,9.34,7.04
32,Jiangsu,2009,7810,9.55,6.99
32,Jiangsu,2010,7869,9.73,6.88
32,Jiangsu,2011,8023,9.59,6.98
32,Jiangsu,2012,8120,9.44,6.99
