prov_name,yr,age,pop_prop
Beijing,1990,0,0.007883354
Beijing,1990,1_14,0.193702979
Beijing,1990,15_49,0.591769203
Beijing,1990,50_,0.206644463
Beijing,1991,0,0.007883354
Beijing,1991,1_14,0.192613345
Beijing,1991,15_49,0.590746339
Beijing,1991,50_,0.208756961
Beijing,1992,0,0.007883354
Beijing,1992,1_14,0.191523712
Beijing,1992,15_49,0.589723476
Beijing,1992,50_,0.210869459
Beijing,1993,0,0.007883354
Beijing,1993,1_14,0.190434078
Beijing,1993,15_49,0.588700612
Beijing,1993,50_,0.212981956
Beijing,1994,0,0.007883354
Beijing,1994,1_14,0.189344444
Beijing,1994,15_49,0.587677748
Beijing,1994,50_,0.215094454
Beijing,1995,0,0.007883354
Beijing,1995,1_14,0.18825481
Beijing,1995,15_49,0.586654884
Beijing,1995,50_,0.217206952
Beijing,1996,0,0.00750618
Beijing,1996,1_14,0.176580144
Beijing,1996,15_49,0.599443928
Beijing,1996,50_,0.216469748
Beijing,1997,0,0.007129005
Beijing,1997,1_14,0.164905478
Beijing,1997,15_49,0.612232971
Beijing,1997,50_,0.215732545
Beijing,1998,0,0.006751831
Beijing,1998,1_14,0.153230812
Beijing,1998,15_49,0.625022015
Beijing,1998,50_,0.214995342
Beijing,1999,0,0.006374657
Beijing,1999,1_14,0.141556146
Beijing,1999,15_49,0.637811058
Beijing,1999,50_,0.214258139
Beijing,2000,0,0.005997482
Beijing,2000,1_14,0.12988148
Beijing,2000,15_49,0.650600102
Beijing,2000,50_,0.213520936
Beijing,2001,0,0.006054463
Beijing,2001,1_14,0.123212107
Beijing,2001,15_49,0.645186715
Beijing,2001,50_,0.225546714
Beijing,2002,0,0.006111445
Beijing,2002,1_14,0.116542735
Beijing,2002,15_49,0.639773328
Beijing,2002,50_,0.237572492
Beijing,2003,0,0.006168426
Beijing,2003,1_14,0.109873362
Beijing,2003,15_49,0.634359942
Beijing,2003,50_,0.24959827
Beijing,2004,0,0.006225407
Beijing,2004,1_14,0.10320399
Beijing,2004,15_49,0.628946555
Beijing,2004,50_,0.261624049
Beijing,2005,0,0.006282388
Beijing,2005,1_14,0.096534617
Beijing,2005,15_49,0.623533168
Beijing,2005,50_,0.273649827
Beijing,2006,0,0.006207634
Beijing,2006,1_14,0.093253856
Beijing,2006,15_49,0.63051098
Beijing,2006,50_,0.27002753
Beijing,2007,0,0.00613288
Beijing,2007,1_14,0.089973096
Beijing,2007,15_49,0.637488791
Beijing,2007,50_,0.266405233
Beijing,2008,0,0.006058126
Beijing,2008,1_14,0.086692335
Beijing,2008,15_49,0.644466603
Beijing,2008,50_,0.262782936
Beijing,2009,0,0.005983372
Beijing,2009,1_14,0.083411574
Beijing,2009,15_49,0.651444415
Beijing,2009,50_,0.259160639
Beijing,2010,0,0.005908618
Beijing,2010,1_14,0.080130813
Beijing,2010,15_49,0.658422226
Beijing,2010,50_,0.255538342
Beijing,2011,0,0.006282694
Beijing,2011,1_14,0.082796874
Beijing,2011,15_49,0.646161444
Beijing,2011,50_,0.264758988
Beijing,2012,0,0.006656769
Beijing,2012,1_14,0.085462935
Beijing,2012,15_49,0.633900663
