yr,resid_curr,resid_regis,pop_mig
2004,Anhui,Beijing,1367
2005,Anhui,Beijing,1496
2006,Anhui,Beijing,1705
2007,Anhui,Beijing,1930
2008,Anhui,Beijing,2180
2009,Anhui,Beijing,2403
2010,Anhui,Beijing,2748
2011,Anhui,Beijing,4664
2012,Anhui,Beijing,7330
2013,Anhui,Beijing,10522
2014,Anhui,Beijing,14375
2004,Anhui,Tianjin,273
2005,Anhui,Tianjin,299
2006,Anhui,Tianjin,520
2007,Anhui,Tianjin,772
2008,Anhui,Tianjin,1064
2009,Anhui,Tianjin,1366
2010,Anhui,Tianjin,1766
2011,Anhui,Tianjin,2399
2012,Anhui,Tianjin,3277
2013,Anhui,Tianjin,4268
2014,Anhui,Tianjin,5427
2004,Anhui,Hebei,4784
2005,Anhui,Hebei,5237
2006,Anhui,Hebei,6526
2007,Anhui,Hebei,7957
2008,Anhui,Hebei,9584
2009,Anhui,Hebei,11163
2010,Anhui,Hebei,13400
2011,Anhui,Hebei,15517
2012,Anhui,Hebei,18429
2013,Anhui,Hebei,21182
2014,Anhui,Hebei,24056
2004,Anhui,Shanxi,3964
2005,Anhui,Shanxi,4339
2006,Anhui,Shanxi,4590
2007,Anhui,Shanxi,4825
2008,Anhui,Shanxi,5070
2009,Anhui,Shanxi,5202
2010,Anhui,Shanxi,5541
2011,Anhui,Shanxi,7353
2012,Anhui,Shanxi,9865
2013,Anhui,Shanxi,12664
2014,Anhui,Shanxi,15915
2004,Anhui,Neimenggu,2734
2005,Anhui,Neimenggu,2993
2006,Anhui,Neimenggu,3043
2007,Anhui,Neimenggu,3061
2008,Anhui,Neimenggu,3064
2009,Anhui,Neimenggu,2977
2010,Anhui,Neimenggu,2983
2011,Anhui,Neimenggu,3293
2012,Anhui,Neimenggu,3716
2013,Anhui,Neimenggu,4043
2014,Anhui,Neimenggu,4327
2004,Anhui,Liaoning,2734
2005,Anhui,Liaoning,2993
2006,Anhui,Liaoning,3296
2007,Anhui,Liaoning,3608
2008,Anhui,Liaoning,3953
2009,Anhui,Liaoning,4230
2010,Anhui,Liaoning,4704
2011,Anhui,Liaoning,5733
2012,Anhui,Liaoning,7155
2013,Anhui,Liaoning,8629
2014,Anhui,Liaoning,10268
2004,Anhui,Jilin,4511
2005,Anhui,Jilin,4938
2006,Anhui,Jilin,4968
2007,Anhui,Jilin,4939
2008,Anhui,Jilin,4874
2009,Anhui,Jilin,4656
2010,Anhui,Jilin,4569
2011,Anhui,Jilin,5603
2012,Anhui,Jilin,7033
2013,Anhui,Jilin,8526
2014,Anhui,Jilin,10195
2004,Anhui,Heilongjiang,5468
2005,Anhui,Heilongjiang,5985
2006,Anhui,Heilongjiang,6082
2007,Anhui,Heilongjiang,6117
2008,Anhui,Heilongjiang,6120
2009,Anhui,Heilongjiang,5942
2010,Anhui,Heilongjiang,5949
2011,Anhui,Heilongjiang,6352
2012,Anhui,Heilongjiang,6896
2013,Anhui,Heilongjiang,7167
2014,Anhui,Heilongjiang,7261
2004,Anhui,Shanghai,6971
2005,Anhui,Shanghai,7631
2006,Anhui,Shanghai,8559
2007,Anhui,Shanghai,9538
2008,Anhui,Shanghai,10627
2009,Anhui,Shanghai,11559
2010,Anhui,Shanghai,13057
2011,Anhui,Shanghai,24860
2012,Anhui,Shanghai,41304
2013,Anhui,Shanghai,61261
2014,Anhui,Shanghai,85518
2004,Anhui,Jiangsu,51672
2005,Anhui,Jiangsu,56562
2006,Anhui,Jiangsu,59785
2007,Anhui,Jiangsu,62797
2008,Anhui,Jiangsu,65935
2009,Anhui,Jiangsu,67581
2010,Anhui,Jiangsu,71919
2011,Anhui,Jiangsu,86911
2012,Anhui,Jiangsu,107614
2013,Anhui,Jiangsu,128834
2014,Anhui,Jiangsu,152260
2004,Anhui,Zhejiang,24469
2005,Anhui,Zhejiang,26785
2006,Anhui,Zhejiang,28981
2007,Anhui,Zhejiang,31186
2008,Anhui,Zhejiang,33575
2009,Anhui,Zhejiang,35318
2010,Anhui,Zhejiang,38613
2011,Anhui,Zhejiang,51512
2012,Anhui,Zhejiang,69401
2013,Anhui,Zhejiang,89395
2014,Anhui,Zhejiang,112655
2004,Anhui,Fujian,8339
2005,Anhui,Fujian,9128
2006,Anhui,Fujian,10607
2007,Anhui,Fujian,12210
2008,Anhui,Fujian,14011
2009,Anhui,Fujian,15659
2010,Anhui,Fujian,18137
