yr,prov_name,vol_trav_out_night
2004,Beijing,8946921
2004,Tianjin,3350088
2004,Hebei,1665574
2004,Shanxi,3116835
2004,Neimenggu,247593
2004,Liaoning,3290196
2004,Jilin,332962
2004,Heilongjiang,1635245
2004,Shanghai,17175761
2004,Jiangsu,13684961
2004,Zhejiang,11173341
2004,Anhui,1132470
2004,Fujian,3450172
2004,Jiangxi,403447
2004,Shandong,5125539
2004,Henan,1325734
2004,Hubei,5088651
2004,Hunan,2410381
2004,Guangdong,25062427
2004,Guangxi,1952108
2004,Hainan,762665
2004,Chongqing,1293743
2004,Sichuan,2402737
2004,Guizhou,343929
2004,Yunnan,3491594
2004,Tibet,8479
2004,Shaanxi,1417008
2004,Gansu,1097799
2004,Qinghai,593956
2004,Ningxia,213971
2004,Xinjiang,1052364
2005,Beijing,15425412
2005,Tianjin,4971544
2005,Hebei,11130996
2005,Shanxi,3458507
2005,Neimenggu,1140711
2005,Liaoning,6260423
2005,Jilin,1566000
2005,Heilongjiang,3994035
2005,Shanghai,20114751
2005,Jiangsu,16133244
2005,Zhejiang,17435246
2005,Anhui,8207968
2005,Fujian,3761541
2005,Jiangxi,2745786
2005,Shandong,10840950
2005,Henan,6089167
2005,Hubei,6369743
2005,Hunan,5693812
2005,Guangdong,28449818
2005,Guangxi,2952348
2005,Hainan,484923
2005,Chongqing,4837090
2005,Sichuan,7538949
2005,Guizhou,1044056
2005,Yunnan,5584746
2005,Tibet,7625
2005,Shaanxi,3644074
2005,Gansu,1205456
2005,Qinghai,349461
2005,Ningxia,894203
2005,Xinjiang,1145123
2006,Beijing,19486582
2006,Tianjin,4900667
2006,Hebei,6239670
2006,Shanxi,3795761
2006,Neimenggu,1622326
2006,Liaoning,10794825
2006,Jilin,1693833
2006,Heilongjiang,2500746
2006,Shanghai,22999561
2006,Jiangsu,19046553
2006,Zhejiang,23284539
2006,Anhui,4674405
2006,Fujian,4456633
2006,Jiangxi,3280842
2006,Shandong,11745166
2006,Henan,6318041
2006,Hubei,7063340
2006,Hunan,6992309
2006,Guangdong,33735664
2006,Guangxi,3733256
2006,Hainan,1378343
2006,Chongqing,5092331
2006,Sichuan,8727890
2006,Guizhou,1447099
2006,Yunnan,5771986
2006,Tibet,10861
2006,Shaanxi,4073731
2006,Gansu,1787334
2006,Qinghai,514266
2006,Ningxia,794511
2006,Xinjiang,1310287
2007,Beijing,15047667
2007,Tianjin,3327655
2007,Hebei,5367989
2007,Shanxi,4022601
2007,Neimenggu,1976779
2007,Liaoning,10304359
2007,Jilin,2470119
2007,Heilongjiang,2848854
2007,Shanghai,24040829
2007,Jiangsu,22052180
2007,Zhejiang,28265304
2007,Anhui,5479915
2007,Fujian,4372418
2007,Jiangxi,3521666
2007,Shandong,13894310
2007,Henan,6647307
2007,Hubei,7463544
2007,Hunan,20038366
2007,Guangdong,40515945
2007,Guangxi,4428578
2007,Hainan,2030392
2007,Chongqing,5110312
2007,Sichuan,12478432
2007,Guizhou,1525184
2007,Yunnan,6581842
2007,Tibet,66601
2007,Shaanxi,5750952
2007,Gansu,1535513
2007,Qinghai,410287
2007,Ningxia,794009
2007,Xinjiang,1547699
2008,Beijing,16505897
2008,Tianjin,4598064
2008,Hebei,5923281
2008,Shanxi,3599609
2008,Neimenggu,1840845
2008,Liaoning,17070141
2008,Jilin,2198725
2008,Heilongjiang,3564085
2008,Shanghai,25265198
2008,Jiangsu,20407598
2008,Zhejiang,27016366
2008,Anhui,6667056
2008,Fujian,5502454
2008,Jiangxi,4367254
2008,Shandong,17198623
2008,Henan,6301365
2008,Hubei,7299084
2008,Hunan,7788675
2008,Guangdong,36656753
2008,Guangxi,4292634
2008,Hainan,1840138
2008,Chongqing,4927403
2008,Sichuan,6132756
2008,Guizhou,1196216
2008,Yunnan,8683895
2008,Tibet,34476
2008,Shaanxi,3893987
2008,Gansu,1263493
2008,Qinghai,351351
2008,Ningxia,782835
2008,Xinjiang,969611
2009,Beijing,15114255
2009,Tianjin,3704469
2009,Hebei,6023973
2009,Shanxi,3215614
2009,Neimenggu,2417322
2009,Liaoning,18089400
2009,Jilin,1740511
2009,Heilongjiang,1760090
2009,Shanghai,26745401
2009,Jiangsu,23103946
2009,Zhejiang,36027144
2009,Anhui,8274041
2009,Fujian,7289674
2009,Jiangxi,4481575
2009,Shandong,24380420
2009,Henan,7342967
2009,Hubei,9687708
2009,Hunan,12716937
2009,Guangdong,41013203
2009,Guangxi,4957641
2009,Hainan,3218450
2009,Chongqing,7179726
2009,Sichuan,11249079
2009,Guizhou,2142266
2009,Yunnan,8061852
2009,Tibet,130676
2009,Shaanxi,4804513
2009,Gansu,1456149
2009,Qinghai,651392
2009,Ningxia,982078
2009,Xinjiang,2227224
2010,Beijing,14653095
2010,Tianjin,3671422
2010,Hebei,11248710
2010,Shanxi,4604942
2010,Neimenggu,3106832
2010,Liaoning,15353593
2010,Jilin,1620987
2010,Heilongjiang,1885562
2010,Shanghai,22640371
2010,Jiangsu,33595031
2010,Zhejiang,30314872
2010,Anhui,10281123
2010,Fujian,8893103
2010,Jiangxi,4717981
2010,Shandong,27046595
2010,Henan,7873129
2010,Hubei,13665409
2010,Hunan,16540841
2010,Guangdong,44547900
2010,Guangxi,6262482
2010,Hainan,4764620
2010,Chongqing,10314106
2010,Sichuan,7246872
2010,Guizhou,2277018
2010,Yunnan,7991386
2010,Tibet,169566
2010,Shaanxi,6519860
2010,Gansu,1815988
2010,Qinghai,650970
2010,Ningxia,1280108
2010,Xinjiang,1110346
2011,Beijing,13858030
2011,Tianjin,3263114
2011,Hebei,7387067
2011,Shanxi,5089630
2011,Neimenggu,3406215
2011,Liaoning,15802969
2011,Jilin,2280560
2011,Heilongjiang,2900382
2011,Shanghai,27630549
2011,Jiangsu,26699676
2011,Zhejiang,32475650
2011,Anhui,11386669
2011,Fujian,11969845
2011,Jiangxi,5543625
2011,Shandong,31075350
2011,Henan,8385678
2011,Hubei,16651828
2011,Hunan,17382536
2011,Guangdong,51610465
2011,Guangxi,6481891
2011,Hainan,3131512
2011,Chongqing,11915839
2011,Sichuan,15907589
2011,Guizhou,2305237
2011,Yunnan,7967699
2011,Tibet,724618
2011,Shaanxi,9843843
2011,Gansu,2032485
2011,Qinghai,812140
2011,Ningxia,1077855
2011,Xinjiang,1539582
2012,Beijing,19488078
2012,Tianjin,5477580
2012,Hebei,8712767
2012,Shanxi,6571343
2012,Neimenggu,3317555
2012,Liaoning,20203281
2012,Jilin,2650743
2012,Heilongjiang,3451725
2012,Shanghai,30860533
2012,Jiangsu,34881999
2012,Zhejiang,47151529
2012,Anhui,12227662
2012,Fujian,17639763
2012,Jiangxi,6347926
2012,Shandong,35600925
2012,Henan,9037557
2012,Hubei,19202926
2012,Hunan,21011972
2012,Guangdong,54385301
2012,Guangxi,8278245
2012,Hainan,2699819
2012,Chongqing,24757729
2012,Sichuan,12133363
2012,Guizhou,2730575
2012,Yunnan,10159676
2012,Tibet,427732
2012,Shaanxi,7609489
2012,Gansu,3183437
2012,Qinghai,964222
2012,Ningxia,1225190
2012,Xinjiang,1846550
2013,Beijing,17729294
2013,Tianjin,4242143
2013,Hebei,7960141
2013,Shanxi,6730725
2013,Neimenggu,2456267
2013,Liaoning,19815184
2013,Jilin,3238358
2013,Heilongjiang,3898219
2013,Shanghai,32105202
2013,Jiangsu,34437508
2013,Zhejiang,42365066
2013,Anhui,10512265
2013,Fujian,20498118
2013,Jiangxi,4548701
2013,Shandong,34052859
2013,Henan,7266557
2013,Hubei,18773052
2013,Hunan,18388246
2013,Guangdong,50365956
2013,Guangxi,8037558
2013,Hainan,2541236
2013,Chongqing,25246995
2013,Sichuan,8893337
2013,Guizhou,3095606
2013,Yunnan,7219512
2013,Tibet,381075
2013,Shaanxi,7768403
2013,Gansu,2283896
2013,Qinghai,867443
2013,Ningxia,1180771
2013,Xinjiang,1529808
2014,Beijing,16809758
2014,Tianjin,5400280
2014,Hebei,8322081
2014,Shanxi,6967198
2014,Neimenggu,2194155
2014,Liaoning,22776291
2014,Jilin,3138532
2014,Heilongjiang,4169594
2014,Shanghai,25766043
2014,Jiangsu,33372501
2014,Zhejiang,35499110
2014,Anhui,12099857
2014,Fujian,22934370
2014,Jiangxi,4184136
2014,Shandong,39073674
2014,Henan,7178893
2014,Hubei,25784919
2014,Hunan,15644892
2014,Guangdong,49628089
2014,Guangxi,2950231
2014,Hainan,1029332
2014,Chongqing,29711902
2014,Sichuan,17225224
2014,Guizhou,2387321
2014,Yunnan,6795416
2014,Tibet,139563
2014,Shaanxi,9458629
2014,Gansu,1785696
2014,Qinghai,785188
2014,Ningxia,979977
2014,Xinjiang,1265487
