prov_code,prov_name,long,lat
11,Beijing,116.4,40.2
12,Tianjin,117.3,39.3
13,Hebei,116.1,39.5
14,Shanxi,112.3,37.5
15,Neimenggu,113.2,44.1
21,Liaoning,122.6,41.3
22,Jilin,126.2,43.7
23,Heilongjiang,127.9,47.8
31,Shanghai,121.4,31.1
32,Jiangsu,119.5,33
33,Zhejiang,120,29.2
34,Anhui,117.2,31.8
35,Fujian,118,26.1
36,Jiangxi,115.7,27.6
37,Shandong,118.1,36.4
41,Henan,113.6,33.9
42,Hubei,112.3,31
43,Hunan,111.7,27.6
44,Guangdong,113.4,23.3
45,Guangxi,108.8,23.8
46,Hainan,109.7,19.2
50,Chongqing,107.9,30.1
51,Sichuan,102.7,30.6
52,Guizhou,106.9,26.8
53,Yunnan,101.5,25
54,Tibet,88.2,31.7
61,Shaanxi,108.8,35.2
62,Gansu,101.2,37.8
63,Qinghai,96,35.8
64,Ningxia,106.2,37.3
65,Xinjiang,85,41.1
