"resid_curr","resid_regis"
"Shanghai","Anhui"
"Shanghai","Jiangsu"
"Shanghai","Henan"
"Shanghai","Sichuan"
"Shanghai","Jiangxi"
"Shanghai","Zhejiang"
"Shanghai","Hubei"
"Beijing","Hebei"
"Beijing","Henan"
"Beijing","Shandong"
"Beijing","Anhui"
"Beijing","Heilongjiang"
"Beijing","Sichuan"
"Beijing","Hubei"
"Beijing","Liaoning"
"Beijing","Neimenggu"
"Beijing","Shanxi"
"Guangdong","Hunan"
"Guangdong","Guangxi"
"Guangdong","Sichuan"
"Guangdong","Hubei"
"Guangdong","Jiangxi"
"Guangdong","Henan"
"Zhejiang","Anhui"
"Zhejiang","Jiangxi"
"Zhejiang","Guizhou"
"Zhejiang","Sichuan"
"Zhejiang","Henan"
"Zhejiang","Hubei"
"Zhejiang","Hunan"
"Tianjin","Hebei"
"Tianjin","Shandong"
"Tianjin","Henan"
"Tianjin","Heilongjiang"
"Tianjin","Anhui"
"Tianjin","Hubei"
"Tianjin","Sichuan"
"Tianjin","Jilin"
"Tianjin","Shanxi"
"Fujian","Jiangxi"
"Fujian","Sichuan"
"Fujian","Guizhou"
"Fujian","Chongqing"
"Fujian","Hubei"
"Fujian","Anhui"
"Jiangsu","Anhui"
"Jiangsu","Henan"
"Jiangsu","Sichuan"
"Jiangsu","Hubei"
"Jiangsu","Shandong"
"Jiangsu","Zhejiang"
"Jiangsu","Guizhou"
